.imp,.id,Action,LTRintensity,LTRjustification,LTRrules,LTRyears,Social,ActionxYear
4,602,0,7,3,1,59.79588903,1,0
4,603,0,3,2,0,5.136313545,1,0
4,604,0,9,3,1,68.5352882,0,0
4,605,0,5,1,1,31.89114082,1,0
4,606,0,5,3,0,39.86392602,1,0
4,607,0,3,2,0,47.83671123,0,0
4,608,0,9,1,1,59.79588903,0,0
4,609,0,9,3,1,2.453164678,1,0
4,610,0,8,2,1,6.362895884,1,0
4,611,0,7,3,1,30.66455848,0,0
4,612,0,7,3,1,9.965981505,0,0
4,613,0,7,2,1,63.39897465,0,0
4,614,0,4,2,0,55.80949643,0,0
4,615,0,7,2,0,50.05989172,0,0
4,616,0,8,3,1,25.91155191,1,0
4,617,0,5,1,1,39.86392602,0,0
4,618,0,9,5,0,38.86732787,0,0
4,619,0,7,3,1,0.574960471,1,0
4,620,0,3,3,1,49.82990753,0,0
4,621,0,6,3,1,25.91155191,1,0
4,622,0,7,5,0,10.1193043,1,0
4,623,0,5,3,0,14.94897226,0,0
4,624,0,5,4,0,60.79248718,0,0
4,625,0,5,3,1,42.85372047,0,0
4,626,0,7,5,0,50.74984428,0,0
4,627,0,5,2,0,30.89454267,1,0
4,628,0,7,1,1,3.986392602,1,0
4,629,0,7,1,1,49.82990753,0,0
4,630,0,1,5,0,45.84351493,0,0
4,631,0,3,2,1,43.85031862,0,0
4,632,0,8,3,1,29.89794452,0,0
4,633,0,9,1,1,59.79588903,0,0
4,634,0,6,3,1,17.93876671,1,0
4,635,0,2,5,0,48.83330938,0,0
4,636,0,5,3,1,45.07690096,0,0
4,637,0,4,2,0,45.84351493,0,0
4,638,0,5,2,1,49.82990753,0,0
4,639,0,5,2,0,29.89794452,0,0
4,640,1,9,4,0,49.82990753,0,49.82990753
4,641,0,2,4,1,25.91155191,0,0
4,642,0,5,3,1,10.65593407,1,0
4,643,0,9,3,0,53.81630013,1,0
4,644,1,7,1,0,30.89454267,1,30.89454267
4,645,0,9,3,0,3.83306981,1,0
4,646,0,9,3,1,16.48220018,0,0
4,647,0,7,1,1,5.979588903,1,0
4,648,0,6,1,1,2.069857697,1,0
4,649,0,7,5,0,40.3238944,1,0
4,650,1,7,2,1,29.89794452,0,29.89794452
4,651,0,1,4,0,71.75506684,0,0
4,652,0,7,3,1,57.80269273,0,0
4,653,1,7,1,0,38.86732787,1,38.86732787
5,5,1,9,2,1,19.93196301,0,19.93196301
5,155,1,8,5,1,10.65593407,1,10.65593407
5,156,1,9,1,1,24.91495376,1,24.91495376
5,157,1,6,3,1,8.969383355,0,8.969383355
5,158,1,9,1,1,5.979588903,0,5.979588903
5,159,1,5,3,0,6.976187054,0,6.976187054
5,160,1,3,1,1,13.95237411,0,13.95237411
5,161,1,7,1,1,14.94897226,0,14.94897226
5,162,1,4,3,1,15.94557041,0,15.94557041
5,163,1,7,1,1,2.146519093,0,2.146519093
5,164,1,9,5,0,19.93196301,0,19.93196301
5,165,1,9,2,0,4.753006564,0,4.753006564
5,166,1,9,1,1,6.056250299,1,6.056250299
5,167,1,4,1,0,3.986392602,1,3.986392602
5,168,1,5,3,0,13.95237411,0,13.95237411
5,169,1,9,1,1,5.979588903,1,5.979588903
5,170,1,9,5,0,6.056250299,0,6.056250299
5,171,1,7,1,0,3.373101433,1,3.373101433
5,172,1,6,3,1,19.93196301,0,19.93196301
5,173,1,7,4,1,2.299841886,0,2.299841886
5,174,1,7,2,1,16.94216856,1,16.94216856
5,175,1,8,4,1,6.43955728,0,6.43955728
5,176,1,5,3,1,9.965981505,1,9.965981505
5,177,1,7,4,1,1.60988932,1,1.60988932
5,178,1,6,4,0,15.94557041,0,15.94557041
5,179,1,1,5,1,4.293038187,0,4.293038187
5,180,1,4,5,1,10.96257966,1,10.96257966
5,181,1,8,2,0,17.93876671,0,17.93876671
5,182,1,3,5,0,11.95917781,0,11.95917781
5,183,1,5,2,0,2.989794452,1,2.989794452
5,184,1,3,1,1,6.976187054,1,6.976187054
5,185,1,1,3,0,12.99410666,0,12.99410666
5,186,1,8,3,1,17.93876671,0,17.93876671
5,187,1,7,2,1,9.965981505,0,9.965981505
5,188,1,3,3,1,14.41234248,0,14.41234248
5,189,1,1,1,0,2.22318049,0,2.22318049
5,190,1,7,5,0,6.976187054,0,6.976187054
5,191,1,5,5,1,5.979588903,1,5.979588903
5,192,1,9,4,0,9.965981505,0,9.965981505
5,193,1,7,1,1,9.965981505,1,9.965981505
5,194,1,1,4,0,1.993196301,0,1.993196301
5,195,1,5,1,1,4.982990753,0,4.982990753
5,196,1,5,1,0,4.139715395,1,4.139715395
5,197,1,9,2,1,14.25901969,0,14.25901969
5,198,1,3,1,0,15.94557041,1,15.94557041
5,199,1,7,3,1,5.979588903,1,5.979588903
5,200,1,7,1,1,6.976187054,0,6.976187054
5,201,1,5,2,1,3.756408414,1,3.756408414
5,202,1,5,3,0,14.94897226,0,14.94897226
5,203,1,7,2,0,19.93196301,0,19.93196301
5,204,1,5,3,1,4.676345168,1,4.676345168
5,205,1,9,1,0,19.31867184,0,19.31867184
5,206,1,5,3,1,23.91835561,0,23.91835561
5,207,1,7,3,1,14.94897226,1,14.94897226
5,208,1,9,5,0,3.83306981,0,3.83306981
5,209,1,7,4,0,6.516218677,0,6.516218677
5,210,1,7,1,1,7.972785204,0,7.972785204
5,211,1,5,5,1,11.57587083,1,11.57587083
5,212,1,3,5,0,4.982990753,0,4.982990753
5,213,1,3,3,0,3.871400508,0,3.871400508
5,214,1,5,3,1,1.993196301,1,1.993196301
5,215,1,5,3,1,14.25901969,0,14.25901969
5,216,1,7,3,1,39.86392602,1,39.86392602
5,217,1,9,1,1,22.92175746,1,22.92175746
5,218,1,5,1,0,13.95237411,0,13.95237411
5,219,1,1,3,1,2.989794452,0,2.989794452
5,220,1,6,2,1,14.94897226,0,14.94897226
5,221,1,6,1,1,2.989794452,1,2.989794452
5,222,1,7,2,1,11.72919362,0,11.72919362
5,223,1,7,2,1,12.1125006,0,12.1125006
5,224,1,9,2,1,5.979588903,1,5.979588903
5,225,1,9,2,0,15.56226343,1,15.56226343
5,226,1,8,1,1,9.965981505,1,9.965981505
5,227,1,7,1,1,3.373101433,1,3.373101433
5,228,1,9,3,1,2.376503282,0,2.376503282
5,229,1,5,3,1,2.453164678,1,2.453164678
5,230,1,5,1,1,9.965981505,0,9.965981505
5,231,1,8,3,1,14.94897226,0,14.94897226
5,232,1,9,1,1,15.94557041,1,15.94557041
5,233,1,6,3,1,10.96257966,0,10.96257966
5,234,1,9,1,1,7.436155431,0,7.436155431
5,235,1,6,3,0,28.90134637,0,28.90134637
5,236,1,9,5,0,38.10071391,0,38.10071391
5,237,1,3,3,0,24.91495376,0,24.91495376
5,238,1,7,2,1,5.44295913,1,5.44295913
5,239,1,6,3,1,19.93196301,0,19.93196301
5,240,1,9,1,1,19.93196301,1,19.93196301
5,241,1,9,1,1,29.89794452,1,29.89794452
5,242,1,7,3,1,33.88433712,0,33.88433712
5,243,1,9,3,1,6.056250299,1,6.056250299
5,244,1,3,4,0,15.79224762,0,15.79224762
5,245,1,3,1,1,31.89114082,0,31.89114082
5,246,1,9,1,0,19.93196301,0,19.93196301
5,247,1,5,3,1,20.92856116,0,20.92856116
5,248,1,9,1,1,19.93196301,1,19.93196301
5,249,1,5,5,0,14.94897226,0,14.94897226
5,250,1,9,2,1,5.979588903,0,5.979588903
5,251,1,7,3,0,26.90815006,0,26.90815006
5,252,1,5,4,0,13.95237411,0,13.95237411
5,253,1,9,3,1,26.2181975,0,26.2181975
5,254,1,9,3,1,14.94897226,1,14.94897226
5,255,1,7,4,1,21.92515931,1,21.92515931
5,256,1,2,1,1,13.95237411,0,13.95237411
5,257,1,3,5,1,32.88773897,0,32.88773897
